"plot";"cov";"t1cov";"t2cov";"scov";"hcov";"mcov";"htl1";"htl2";"hsl";"hhl1";"hhl2";"plsx";"plsy";"expo";"slope";"rock";"date";"latitude";"longitude";"horizontal precision";"soil";"type";"syntaxon";"timber";"stand.age";"comment";"deadwood"
"sp51";98;97;0;7;45;1;10;0;4;0,3;0,1;16;16;"F";0;0;"2013-05-16";"48.081188N";"13.839238E";4,6;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp52";96;0;2;85;94;1;0;6;2;0,35;0,2;16;16;"F";0;0;"2013-05-16 & 2013-08-28";"48.079217N";"13.843711E";6,9;"unkown";"REK";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
"sp53";95;0;3;60;90;1;0;10;2,5;0,5;0,1;16;16;"F";0;0;"2013-05-16 & 2013-08-28";"48.079332N";"13.843022E";6,7;"unkown";"REK";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
"sp54";99;0;7;90;90;4;0;8;4;0,8;0,25;16;16;"F";0;0;"2013-05-16";"48.078734N";"13.842349E";5,8;"unkown";"REK";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
"sp55";100;0;95;15;100;0;0;10;5;1;0,1;16;16;"F";0;0;"2013-05-16";"48.078341N";"13.842070E";3,8;"unkown";"REK";"unclassified";"missing";"missing";"missing";99
"sp56";99;0;0;75;98;1;0;0;4;1;0,1;16;16;"F";0;0;"2013-05-16";"48.077843N";"13.842753E";4,6;"unkown";"REK";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
"sp57";97;50;50;20;80;1;25;20;4,5;0,4;0,2;16;16;"F";0;0;"2013-07-12";"48.074424N";"13.831968E";15;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp58";98;80;40;0;60;1;24;18;0;0,2;0,2;16;16;"F";0;0;"2013-07-12";"48.076460N";"13.827254E";15;"unkown";"EHW";"Stellario-Carpinetum";"missing";"missing";"missing";99
"sp59";93;0;0;15;80;1;0;0;4;0,8;0,3;16;16;"SW";15;0;"2013-07-12 & 2013-08-28";"48.083177N";"13.841486E";15;"unkown";"REK";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
"sp60";98;95;10;7;90;1;25;20;3,5;0,6;0,3;16;16;"F";0;0;"2013-07-12";"48.071648N";"13.837227E";15;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp61";98;85;15;10;25;1;26;22;4;0,3;0,2;16;16;"F";0;0;"2013-07-12";"48.070798N";"13.837619E";15;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp62";75;0;0;65;73;1;0;0;3;1,2;0,5;32;8;"SW";25;0;"2013-07-16";"48.083168N";"13.842189E";10;"unkown";"REK";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
