plot;variable;value
Exner2004:04;slope;60
Exner2004:05;slope;75
Exner2004:06;slope;30
Exner2004:07;slope;40
Exner2004:08;slope;60
Exner2004:09;slope;12
Exner2004:10;slope;50
Exner2004:11;slope;40
Exner2004:12;slope;45
Exner2004:13;slope;35
Exner2004:14;slope;40
Exner2004:15;slope;40
Exner2004:16;slope;30
Exner2004:17;slope;45
Exner2004:18;slope;40
Exner2004:19;slope;40
Exner2004:20;slope;30
