plot;abbr;layer;cov;comment;voucher;history
kb08;sorb aria;hl;+;;;
kb08;taxu bacc;hl;+;;;
kb08;tili plat;hl;1;;;
kb08;ulmu mino mino;hl;+;;;
kb08;vibu lant;hl;1;;;
kb08;vinc hiru;hl;1;;;
kb08;viol alba slat;hl;+;2014-0103;;
kb08;acer plat;sl;+;;;
kb08;acer pseu;sl;2a;;;
kb08;carp betu;sl;1;;;
kb08;clem vita;sl;2a;;;
kb08;corn mas;sl;2a;;;
kb08;corn sang slat;sl;1;;;
kb08;cory avel;sl;2a;;;
kb08;crat mono;sl;+;;;
kb08;euon euro;sl;1;;;
kb08;jugl regi;sl;+;;;
kb08;quer robu;sl;+;;;
kb08;taxu bacc;sl;1;;;
kb08;tili plat;sl;2a;;;
kb08;ulmu glab;sl;1;;;
kb08;vibu lant;sl;+;;;
kb08;acer plat;tl1;2b;;;
kb08;acer pseu;tl1;2a;;;
kb08;carp betu;tl1;1;;;
kb08;frax exce;tl1;2a;;;
kb08;quer robu;tl1;2b;;;
kb08;ulmu glab;tl1;1;;;
kb08;acer plat;tl2;2b;;;
kb08;carp betu;tl2;3;;;
kb08;frax exce;tl2;2a;;;
kb08;sorb aria;tl2;1;;;
kb08;taxu bacc;tl2;1;;;
kb08;tili ✕eur;tl2;1;;;
kb08;tili plat;tl2;2a;;;
kb08;ulmu glab;tl2;2a;;;
kb09;acer plat;hl;+;;;
kb09;acer pseu;hl;+;;;
kb09;anem nemo;hl;1;;;
kb09;aspl ruta;hl;r;;;
kb09;brac sylv;hl;+;;;
kb09;cala vari;hl;1;;;
kb09;camp trac;hl;+;;;
kb09;care alba;hl;3;;;
kb09;care digi;hl;+;;;
kb09;carp betu;hl;+;;;
kb09;clem vita;hl;+;;;
kb09;conv maja maja;hl;+;;;
kb09;cycl purp;hl;1;;;
kb09;euph amyg amyg;hl;+;;;
kb09;euph dulc dulc;hl;+;;;
kb09;fagu sylv;hl;2a;;;
kb09;frax exce;hl;1;;;
kb09;gale psis spec ies;hl;r;;;
kb09;hede heli;hl;1;;;
kb09;hepa nobi;hl;1;;;
kb09;jugl regi;hl;1;;;
kb09;ligu vulg;hl;r;;;
kb09;lili mart;hl;r;;;
kb09;poly mult;hl;+;;;
kb09;pren purp;hl;+;;;
kb09;prun spin;hl;r;;;
kb09;quer robu;hl;+;;;
kb09;rham cath;hl;r;;;
kb09;rubu sect rubu;hl;1;;;
kb09;salv glut;hl;r;;;
kb09;taxu bacc;hl;+;;;
kb09;tili plat;hl;+;;;
kb09;vinc hiru;hl;1;;;
kb09;viol rivi;hl;+;;;
kb09;acer plat;sl;+;;;
kb09;acer pseu;sl;+;;;
kb09;carp betu;sl;+;;;
kb09;clem vita;sl;+;;;
kb09;cory avel;sl;1;;;
kb09;euon euro;sl;+;;;
kb09;fagu sylv;sl;2b;;;
kb09;jugl regi;sl;2a;;;
kb09;prun aviu slat;sl;r;;;
kb09;quer robu;sl;+;;;
kb09;tili plat;sl;+;;;
