"plot";"variable";"value"
"an23";"precision";"2.6"
"an24";"precision";"2.8"
"an25";"precision";"3.1"
"an26";"precision";"3.3"
"an01";"rock";"0"
"an02";"rock";"0"
"an03";"rock";"7"
"an04";"rock";"0"
"an05";"rock";"2"
"an06";"rock";"1"
"an07";"rock";"0"
"an08";"rock";"2"
"an09";"rock";"1"
"an10";"rock";"1"
"an11";"rock";"2"
"an12";"rock";"4"
"an13";"rock";"0"
"an14";"rock";"3"
"an15";"rock";"0"
"an16";"rock";"1"
"an17";"rock";"4"
"an18";"rock";"1"
"an19";"rock";"0"
"an20";"rock";"0"
"an21";"rock";"1"
"an22";"rock";"1"
"an23";"rock";"0"
"an24";"rock";"1"
"an25";"rock";"0"
"an26";"rock";"0"
"an01";"scov";"0"
"an02";"scov";"90"
"an03";"scov";"0"
"an04";"scov";"0"
"an05";"scov";"0"
"an06";"scov";"0"
"an07";"scov";"90"
"an08";"scov";"0"
"an09";"scov";"0"
"an10";"scov";"0"
"an11";"scov";"0"
"an12";"scov";"0"
"an13";"scov";"0"
"an14";"scov";"0"
"an15";"scov";"0"
"an16";"scov";"0"
"an17";"scov";"0"
"an18";"scov";"0"
"an19";"scov";"0"
"an20";"scov";"0"
"an21";"scov";"0"
"an22";"scov";"0"
"an23";"scov";"0"
"an24";"scov";"0"
"an25";"scov";"0"
"an26";"scov";"0"
"an01";"slope";"25"
"an02";"slope";"20"
"an03";"slope";"30"
"an04";"slope";"20"
"an05";"slope";"25"
"an06";"slope";"20"
"an07";"slope";"10"
"an08";"slope";"10"
"an09";"slope";"30"
"an10";"slope";"35"
"an11";"slope";"15"
"an12";"slope";"25"
"an13";"slope";"30"
"an14";"slope";"10"
"an15";"slope";"5"
"an16";"slope";"5"
"an17";"slope";"20"
"an18";"slope";"15"
"an19";"slope";"5"
"an20";"slope";"20"
"an21";"slope";"0"
"an22";"slope";"0"
"an23";"slope";"5"
"an24";"slope";"3"
"an25";"slope";"5"
"an26";"slope";"0"
"an01";"soil";
"an02";"soil";
"an03";"soil";
"an04";"soil";
"an05";"soil";
"an06";"soil";
"an07";"soil";
"an08";"soil";
"an09";"soil";
"an10";"soil";
"an11";"soil";
"an12";"soil";
"an13";"soil";
"an14";"soil";
"an15";"soil";
"an16";"soil";
"an17";"soil";
"an18";"soil";
"an19";"soil";
"an20";"soil";
"an21";"soil";
"an22";"soil";
"an23";"soil";
"an24";"soil";
"an25";"soil";
"an26";"soil";
"an01";"stones";"20"
"an02";"stones";"0"
"an03";"stones";"0"
"an04";"stones";"3"
"an05";"stones";"13"
"an06";"stones";"10"
"an07";"stones";"0"
"an08";"stones";"15"
"an09";"stones";"33"
"an10";"stones";"1"
"an11";"stones";"31"
"an12";"stones";"1"
"an13";"stones";"2"
"an14";"stones";"0"
"an15";"stones";"35"
"an16";"stones";"30"
"an17";"stones";"1"
"an18";"stones";"0"
"an19";"stones";"10"
"an20";"stones";"0"
"an21";"stones";"20"
"an22";"stones";"0"
"an23";"stones";"0"
"an24";"stones";"1"
"an25";"stones";"1"
"an26";"stones";"0"
"an01";"longitude";"13.645439"
"an02";"longitude";"13.645476"
"an03";"longitude";"13.645084"
"an04";"longitude";"13.644255"
"an05";"longitude";"13.643681"
"an06";"longitude";"13.643241"
"an07";"longitude";"13.64289"
"an08";"longitude";"13.64255"
"an09";"longitude";"13.642031"
"an10";"longitude";"13.642105"
"an12";"longitude";"13.64137"
"an13";"longitude";"13.641465"
"an14";"longitude";"13.641465"
"an15";"longitude";"13.641505"
"an16";"longitude";"13.640202"
"an17";"longitude";"13.640136"
"an19";"longitude";"13.639635"
"an20";"longitude";"13.639569"
"an21";"longitude";"13.639671"
"an22";"longitude";"13.639679"
"an23";"longitude";"13.639641"
"an24";"longitude";"13.639018"
"an25";"longitude";"13.638646"
"an26";"longitude";"13.638647"
"an11";"longitude";"13.642027"
"an18";"longitude";"13.641373"
"an01";"latitude";"47.062215"
"an02";"latitude";"47.061883"
"an03";"latitude";"47.061592"
"an04";"latitude";"47.06188"
"an05";"latitude";"47.062068"
"an06";"latitude";"47.06223"
"an07";"latitude";"47.062223"
"an08";"latitude";"47.062249"
"an09";"latitude";"47.062388"
"an10";"latitude";"47.062425"
"an12";"latitude";"47.062399"
"an13";"latitude";"47.059857"
"an14";"latitude";"47.060239"
"an15";"latitude";"47.060587"
"an16";"latitude";"47.060723"
"an17";"latitude";"47.060531"
"an19";"latitude";"47.057426"
"an20";"latitude";"47.057698"
"an21";"latitude";"47.057935"
"an22";"latitude";"47.058307"
"an23";"latitude";"47.058632"
"an24";"latitude";"47.058671"
"an25";"latitude";"47.058862"
"an26";"latitude";"47.059014"
"an11";"latitude";"47.062601"
"an18";"latitude";"47.062287"
"an01";"altitude";"2127"
"an02";"altitude";"2135"
"an03";"altitude";"2138"
"an04";"altitude";"2153"
"an05";"altitude";"2161"
"an06";"altitude";"2164"
"an07";"altitude";"2169"
"an08";"altitude";"2175"
"an09";"altitude";"2182"
"an10";"altitude";"2173"
"an12";"altitude";"2172"
"an13";"altitude";"2229"
"an14";"altitude";"2230"
"an15";"altitude";"2227"
"an16";"altitude";"2224"
"an17";"altitude";"2224"
"an19";"altitude";"2256"
"an20";"altitude";"2251"
"an21";"altitude";"2254"
"an22";"altitude";"2247"
"an23";"altitude";"2248"
"an24";"altitude";"2252"
"an25";"altitude";"2247"
"an26";"altitude";"2251"
"an11";"altitude";"0"
"an18";"altitude";"0"
