"plot";"pls";"cov";"tcov";"scov";"hcov";"mcov";"htl";"hsl";"hhl";"expo";"slope";"longitude";"latitude";"elevation";"date";"association";"alliance";"location"
26;500;80;80;5;5;2;18;5;50;"S";35;"13.167778";"47.685278";680;"2007-07-24";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Eibenreicher Bu Wald N Allreitbach"
27;500;80;75;0;12;0;20;0;50;"N";30;"13.198056";"47.745278";1220;"2007-07-25";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 1 Ochsenberg"
28;500;70;60;0;20;0;22;0;100;"SW";25;"13.196389";"47.749167";1250;"2007-07-25";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 1 Ochsenberg"
29;500;80;75;0;20;0;20;0;35;"N";30;"13.191111";"47.749167";1130;"2007-07-25";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 1 Ochsenberg"
30;500;85;80;0;15;0;25;0;30;"N";20;"13.190000";"47.752500";1035;"2007-07-26";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 1 Ochsenberg"
31;750;85;50;0;60;0;25;0;100;"W";25;"13.190278";"47.744722";950;"2007-07-26";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 1 Ochsenberg"
32;500;80;60;0;60;0;18;0;100;"N";30;"13.185000";"47.741111";770;"2007-07-27";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 1 Ochsenberg"
33;500;80;45;0;60;0;20;0;100;"N";30;"13.201111";"47.752222";1220;"2007-07-28";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Tannen-Wald 3 am Kallersberg"
34;500;90;30;0;80;0;15;0;100;"W";30;"13.194444";"47.757222";925;"2007-07-28";"Adenostylo glabrae-Fagetum Moor 1970 -calamagrostietosum variae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 2 Ochsenberg"
35;500;80;75;0;20;0;25;0;40;"O";15;"13.197778";"47.758056";840;"2007-07-28";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Fichten-Tannen Wald 2 Ochsenberg"
36;500;80;75;0;20;0;22;0;100;"O";5;"13.281667";"47.717500";850;"2007-07-30";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Fichten-Tannen-Buchenwald W Langfeld"
37;500;80;50;1;40;0;20;2;100;"O";35;"13.277500";"47.717778";1070;"2007-07-30";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Fichten-Tannen-Buchenwald W Langfeld"
38;500;95;10;45;30;20;15;4;100;"NO";35;"13.211111";"47.744444";1340;"2007-07-31";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Tannen-Wald 2 am Kallersberg"
39;500;90;35;0;65;20;22;0;100;"NO";30;"13.216667";"47.746667";1145;"2007-07-31";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Tannen-Wald 2 am Kallersberg"
40;500;90;50;0;75;0;15;1;100;"SO";30;"13.217500";"47.749722";850;"2007-08-01";"Adenostylo glabrae-Fagetum Moor 1970 -calamagrostietosum variae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchenwald im Weißenbachkessel"
41;500;90;50;0;85;0;20;1;100;"O";25;"13.223611";"47.748889";800;"2007-08-01";"Adenostylo glabrae-Fagetum Moor 1970 -calamagrostietosum variae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Tannen-Wald am Weißenbach"
42;500;90;50;2;80;1;22;1;100;"W";30;"13.223889";"47.751944";790;"2007-08-01";"Adenostylo glabrae-Fagetum Moor 1970 -calamagrostietosum variae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchen-Tannen-Wald NW Wurmwinkl"
43;500;95;85;75;70;0;20;2;100;"SW";15;"13.083611";"47.808056";570;"2008-06-24";"Mercuriali-Fagetum Scamoni 1935 -tilietosum";"Eu-Fagenion Oberd. 1957";"Buchenwald & GLT 00114 Kühberg"
44;500;95;80;0;60;1;15;0;40;"NW";30;"13.085000";"47.810278";700;"2008-06-25";"Mercuriali-Fagetum Scamoni 1935 -caricetosum albae";"Eu-Fagenion Oberd. 1957";"Buchenwald & GLT 00114 Kühberg"
45;500;95;85;0;45;1;18;0;40;"SO";5;"13.092778";"47.810833";720;"2008-06-25";"Mercuriali-Fagetum Scamoni 1935 -tilietosum";"Eu-Fagenion Oberd. 1957";"Fi-Ta-Bu Wald Ghf. Gersbergalm"
46;500;98;90;5;40;0;15;5;40;"N";25;"13.082500";"47.811667";570;"2008-06-25";"Helleboro nigri-Fagetum Zukrigl 1973 s.str.";"Cephalanthero-Fagenion Tx. & Oberd. 1958";"Buchenwald & GLT 00114 Kühberg"
47;500;95;70;60;50;0;22;2;100;"S";5;"13.097778";"47.812222";730;"2008-06-26";"Mercuriali-Fagetum Scamoni 1935 -tilietosum";"Eu-Fagenion Oberd. 1957";"Fi-Ta-Bu Wald Ghf. Gersbergalm"
48;500;95;70;1;80;0;20;3;80;"SW";10;"13.101389";"47.810278";805;"2008-06-26";"Mercuriali-Fagetum Scamoni 1935 -caricetosum albae";"Eu-Fagenion Oberd. 1957";"Fi-Ta-Bu Wald Ghf. Gersbergalm"
49;500;90;80;0;60;2;20;0;40;"W";10;"13.098889";"47.809722";780;"2008-06-26";"Mercuriali-Fagetum Scamoni 1935 -tilietosum";"Eu-Fagenion Oberd. 1957";"Fi-Ta-Bu Wald Ghf. Gersbergalm"
50;500;85;70;0;80;0;15;0;50;"SW";20;"13.115556";"47.812778";990;"2008-06-27";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Felsdurchsetzte Nockstein-N-Hangwälder"
51;500;80;70;0;40;3;15;0;40;"N";30;"13.121667";"47.816389";890;"2008-06-27";"Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Felsdurchsetzte Nockstein-N-Hangwälder"
52;500;100;60;2;95;0;15;5;40;"N";25;"13.118611";"47.814167";960;"2008-06-27";"Adenostylo glabrae-Fagetum Moor 1970 -calamagrostietosum variae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Felsdurchsetzte Nockstein-N-Hangwälder"
53;500;95;90;10;10;0;33;3;60;"NW";30;"13.286389";"47.685278";1200;"2008-08-07";"Cardamino trifoliae-Fagetum Oberd. 1987 -typicum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Mischwald am Regenspitz-Nordabhang"
54;500;100;100;0;4;0;20;0;40;"NW";20;"13.284167";"47.685278";1100;"2008-08-07";"Cardamino trifoliae-Fagetum Oberd. 1987 -typicum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Mischwald am Regenspitz-Nordabhang"
55;500;95;100;3;15;0;25;5;50;"NW";30;"13.288333";"47.686667";1250;"2008-08-06";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Mischwald am Regenspitz-Nordabhang"
56;500;95;95;0;10;0;20;0;40;"NW";30;"13.291389";"47.689444";1200;"2008-08-06";"Cardamino trifoliae-Fagetum Oberd. 1987 -typicum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchenwald am Regenspitz-Nordwestabhang"
57;500;100;100;0;2;0;25;0;30;"NW";30;"13.290278";"47.692222";1080;"2008-08-07";"Cardamino trifoliae-Fagetum Oberd. 1987 -typicum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchenwald am Regenspitz-Nordwestabhang"
