plot;variable;value
Morton1950:1324;hsl;0
Morton1950:1324;hhl1;0
Morton1950:1324;hhl2;0
Morton1950:1324;plsx;20
Morton1950:1324;plsy;20
Morton1950:1324;expo;S
Morton1950:1324;slope;0
Morton1950:1324;rock;0
Morton1950:1324;stones;0
Morton1950:1324;bare;0
Morton1950:1324;soil;
Morton1950:1324;date;22.08.1949
Morton1950:1324;altitude;840
Morton1950:1324;precision.vertical;50
Morton1950:1324;precision.horizontal;200
Morton1950:1324;longitude;14,057189
Morton1950:1324;latitude;47,52839
Morton1950:1324;comment;Nr. 1324
Morton1950:1324;location;Bei der Wegkapelle links hinauf zum kleinen Felskogel (Burgstall)
Morton1950:1327;cov;10
Morton1950:1327;tcov1;0
Morton1950:1327;scov;0
Morton1950:1327;hcov;10
Morton1950:1327;mcov;1
Morton1950:1327;htl1;0
Morton1950:1327;htl2;0
Morton1950:1327;hsl;0
Morton1950:1327;hhl1;0
Morton1950:1327;hhl2;0
Morton1950:1327;plsx;20
Morton1950:1327;plsy;20
Morton1950:1327;expo;S
Morton1950:1327;slope;80
Morton1950:1327;rock;0
Morton1950:1327;stones;0
Morton1950:1327;bare;0
Morton1950:1327;soil;
Morton1950:1327;date;22.08.1949
Morton1950:1327;altitude;1000
Morton1950:1327;precision.vertical;50
Morton1950:1327;precision.horizontal;200
Morton1950:1327;longitude;14,056369
Morton1950:1327;latitude;47,527721
Morton1950:1327;comment;Nr. 1327
Morton1950:1327;location;Felshang ober Pürgg in Richtung Stainach
Morton1950:1328;cov;10
Morton1950:1328;tcov1;0
Morton1950:1328;scov;5
Morton1950:1328;hcov;10
Morton1950:1328;mcov;0
Morton1950:1328;htl1;0
Morton1950:1328;htl2;0
Morton1950:1328;hsl;6
Morton1950:1328;hhl1;0
Morton1950:1328;hhl2;0
Morton1950:1328;plsx;20
Morton1950:1328;plsy;20
Morton1950:1328;expo;S
Morton1950:1328;slope;75
Morton1950:1328;rock;0
Morton1950:1328;stones;0
Morton1950:1328;bare;0
Morton1950:1328;soil;
Morton1950:1328;date;22.08.1949
Morton1950:1328;altitude;840
Morton1950:1328;precision.vertical;50
Morton1950:1328;precision.horizontal;200
Morton1950:1328;longitude;14,057188
Morton1950:1328;latitude;47,5283
Morton1950:1328;comment;Nr. 1328
Morton1950:1328;location;Südabfall des Burgstalls bei Pürgg
Morton1950:1330;cov;10
Morton1950:1330;tcov1;0
Morton1950:1330;scov;0
Morton1950:1330;hcov;10
Morton1950:1330;mcov;1
Morton1950:1330;htl1;0
Morton1950:1330;htl2;0
Morton1950:1330;hsl;0
Morton1950:1330;hhl1;0
Morton1950:1330;hhl2;0
Morton1950:1330;plsx;20
Morton1950:1330;plsy;20
Morton1950:1330;expo;S
Morton1950:1330;slope;65
Morton1950:1330;rock;0
Morton1950:1330;stones;0
