"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"history"
"tg3b";"hypn cupr";"ml";"2m";;;;
"tg3b";"juni comm comm";"hl";"2a";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg3b";"juni comm comm";"sl";"4";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg3b";"leon inca";"hl";"+";;;;
"tg3b";"meli nuta";"hl";"+";;;;
"tg3b";"moli caer aggr";"hl";"1";;;;" | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05"
"tg3b";"peuc oreo";"hl";"+";;;;
"tg3b";"pice abie";"hl";"+";;;;
"tg3b";"pinu mugo";"sl";"r";;;;
"tg3b";"pinu sylv";"tl";"3";;;;
"tg3b";"pleu schr";"ml";"2a";;;;
"tg3b";"poly cham";"hl";"2m";;;;
"tg3b";"poly odor";"hl";"+";;;;
"tg3b";"prun gran";"hl";"+";;;;
"tg3b";"rham saxa saxa";"hl";"1";;;;" | Changed rham saxa To rham saxa saxa 2012-11-27 16:08:08"
"tg3b";"rhyt triq";"ml";"1";;;;
"tg3b";"sali elea elea";"hl";"+";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg3b";"sali elea elea";"sl";"+";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg3b";"sali purp";"hl";"+";;;;
"tg3b";"sali purp";"sl";"+";;;;
"tg3b";"sesl caer";"hl";"2a";;;;" | Changed sesl vari To sesl caer 2012-11-27 16:08:05"
"tg3b";"sorb aucu aucu";"hl";"+";;;;" | Changed sorb aucu To sorb aucu aucu 2012-11-27 16:08:07"
"tg3b";"sorb aucu aucu";"sl";"r";;;;" | Changed sorb aucu To sorb aucu aucu 2012-11-27 16:08:07"
"tg3b";"teuc mont";"hl";"+";;;;
"tg3b";"tofi caly";"hl";"+";;;;
"tg3b";"tort tort";"ml";"+";;;;
"tg3b";"visc laxu laxu";"hl";"+";;;;" | Changed visc laxu To visc laxu laxu 2012-11-27 16:08:06"
"tg40a";"ange sylv sylv";"hl";"+";;;;" | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05"
"tg40a";"bell mich";"hl";"2a";;;;" | Changed aste bell To bell mich 2012-11-27 16:08:06"
"tg40a";"briz medi";"hl";"+";;;;
"tg40a";"bryu pseu pseu";"ml";"1";;;;" | Changed bryu pseu To bryu pseu pseu 2012-11-27 16:08:05"
"tg40a";"call cusp";"ml";"3";;;;
"tg40a";"camp stel";"ml";"2a";;;;
"tg40a";"care flac";"hl";"1";;;;
"tg40a";"care pani";"hl";"1";;;;
"tg40a";"cirs palu";"hl";"+";;;;
"tg40a";"colc autu";"hl";"+";;;;
"tg40a";"dact inca inca";"hl";"r";;;;" | Changed dact inca To dact inca inca 2012-11-27 16:08:06"
"tg40a";"scor coss";"ml";"+";;;;" | Changed drep coso To scor coss 2012-11-27 16:08:05"
"tg40a";"gali bore";"hl";"2b";;;;
"tg40a";"gali ulig";"hl";"1";;;;
"tg40a";"holc lana";"hl";"+";;;;
"tg40a";"junc subn";"hl";"3";;;;
"tg40a";"lych flos cucu";"hl";"+";;;;" | Changed lych flos To lych flos cucu 2012-11-27 16:08:06"
"tg40a";"moli caer aggr";"hl";"1";;;;" | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05"
"tg40a";"palu comm falc";"ml";"+";;;;" | Changed palu falc To palu comm falc 2012-11-27 16:08:08"
"tg40a";"phra aust";"hl";"+";;;;
"tg40a";"phyt orbi";"hl";"+";;;;
"tg40a";"poly amar brac";"hl";"+";;;;" | Changed poly amar b To poly amar brac 2012-11-27 16:08:08"
"tg40a";"pers bist";"hl";"+";;;;" | Changed poly bist To pers bist 2012-11-27 16:08:05"
"tg40a";"pote erec";"hl";"1";;;;
"tg40a";"sang offi";"hl";"2a";;;;
"tg40a";"scab colu";"hl";"2m";;;;
"tg40a";"sesl caer";"hl";"+";;;;" | Changed sesl vari To sesl caer 2012-11-27 16:08:05"
"tg40a";"succ prat";"hl";"+";;;;
"tg40a";"tome nite";"ml";"2a";;;;
"tg40a";"vici crac";"hl";"+";;;;
"tg41a";"achi mill aggr";"hl";"2a";;;;" | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03"
"tg41a";"anth sylv";"hl";"+";;;;
"tg41a";"aren serp";"hl";"+";;;;
"tg41a";"arrh elat";"hl";"2a";;;;
"tg41a";"homa pube pube";"hl";"1";;;;" | Changed aven pube To homa pube pube 2012-11-27 16:08:03"
"tg41a";"camp glom";"hl";"1";;;;
"tg41a";"camp patu";"hl";"+";;;;
"tg41a";"caru carv";"hl";"1";;;;
"tg41a";"cent scab scab";"hl";"+";;;;" | Changed cent scab To cent scab scab 2012-11-27 16:08:04"
"tg41a";"crep bien";"hl";"+";;;;
"tg41a";"dact glom glom";"hl";"3";;;;" | Changed dact glom To dact glom glom 2012-11-27 16:12:26"
"tg41a";"fest prat prat";"hl";"2b";;;;" | Changed fest prat To fest prat prat 2012-11-27 16:08:04"
"tg41a";"fest rubr slat";"hl";"2a";;;;" | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05"
"tg41a";"gali albu";"hl";"2b";;;;
"tg41a";"hera spho spho";"hl";"+";;;;" | Changed hera spho s To hera spho spho 2012-11-27 16:12:27"
"tg41a";"knau arve arve";"hl";"+";;;;" | Changed knau arve To knau arve arve 2012-11-27 16:08:04"
"tg41a";"leon hisp slat";"hl";"+";;;;" | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04"
"tg41a";"leuc ircu";"hl";"2a";;;;
"tg41a";"lotu corn";"hl";"+";;;;
"tg41a";"medi lupu";"hl";"+";;;;
"tg41a";"pimp majo majo";"hl";"1";;;;" | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04"
"tg41a";"plan lanc";"hl";"1";;;;
"tg41a";"plan medi";"hl";"+";;;;
"tg41a";"poa prat";"hl";"+";;;;
"tg41a";"ranu acri acri";"hl";"1";;;;" | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04"
"tg41a";"ranu repe";"hl";"+";;;;
"tg41a";"rume acet osa";"hl";"+";;;;" | Changed rume acet To rume acet osa 2012-11-27 16:08:04"
"tg41a";"salv prat prat";"hl";"1";;;;" | Changed salv prat To salv prat prat 2012-11-27 16:08:04"
"tg41a";"sile vulg vulg";"hl";"+";;;;" | Changed sile vulg v To sile vulg vulg 2012-11-27 16:08:04"
"tg41a";"tara sect rude";"hl";"+";;;;" | Changed tara offi To tara sect rude 2012-11-27 16:08:04"
"tg41a";"thal minu slat";"hl";"+";;;;" | Changed thal minu To thal minu slat 2012-11-27 16:08:05"
"tg41a";"trag orie";"hl";"1";;;;
"tg41a";"trif prat prat";"hl";"1";;;;" | Changed trif prat p To trif prat prat 2012-11-27 16:12:27"
"tg41a";"tris flav flav";"hl";"1";;;;" | Changed tris flav To tris flav flav 2012-11-27 16:08:04"
"tg41a";"vici crac";"hl";"+";;;;
"tg41a";"vici sepi";"hl";"1";;;;
"tg42a";"achi mill aggr";"hl";"+";"voucher";"1";"2";" | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03"
"tg42a";"arrh elat";"hl";"1";;;;
"tg42a";"brac pinn";"hl";"+";;;;
"tg42a";"brac rupe";"hl";"1";;;;
"tg42a";"brom erec";"hl";"2b";;;;
"tg42a";"camp glom";"hl";"+";;;;
"tg42a";"care cary";"hl";"+";;;;
"tg42a";"cent jace jace";"hl";"+";;;;" | Changed cent jace To cent jace jace 2012-11-27 16:08:04"
"tg42a";"cent scab scab";"hl";"+";;;;" | Changed cent scab To cent scab scab 2012-11-27 16:08:04"
"tg42a";"conv arve";"hl";"+";;;;
"tg42a";"secu vari";"hl";"+";;;;" | Changed coro vari To secu vari 2012-11-27 16:08:08"
"tg42a";"dian cart cart";"hl";"r";;;;" | Changed dian cart To dian cart cart 2012-11-27 16:08:05"
"tg42a";"dian sylv";"hl";"r";;;;
"tg42a";"fest brev";"hl";"2a";"voucher";"2";"4";
"tg42a";"fest gues";"hl";"2a";"voucher";"6";;
"tg42a";"fest stri sulc";"hl";"+";;;;" | Changed fest rupi To fest stri sulc 2012-11-27 16:08:08"
"tg42a";"gali albu";"hl";"+";;;;
"tg42a";"heli numm numm";"hl";"+";;;;" | Changed heli numm To heli numm numm 2012-11-27 16:08:06"
"tg42a";"aven prae";"hl";"+";;;;" | Changed heli prae To aven prae 2012-11-27 16:08:05"
"tg42a";"knau arve arve";"hl";"+";;;;" | Changed knau arve To knau arve arve 2012-11-27 16:08:04"
"tg42a";"medi falc";"hl";"1";;;;
"tg42a";"onob vici";"hl";"+";;;;
"tg42a";"pimp saxi slat";"hl";"+";;;;" | Changed pimp saxi To pimp saxi slat 2012-11-27 16:08:06"
"tg42a";"plan lanc";"hl";"+";;;;
"tg42a";"plan medi";"hl";"+";;;;
"tg42a";"ranu bulb";"hl";"+";;;;
"tg42a";"salv prat prat";"hl";"2m";;;;" | Changed salv prat To salv prat prat 2012-11-27 16:08:04"
"tg42a";"sang mino mino";"hl";"+";;;;" | Changed sang mino mi To sang mino mino 2012-11-27 16:08:06"
"tg42a";"sile vulg vulg";"hl";"+";;;;" | Changed sile vulg v To sile vulg vulg 2012-11-27 16:08:04"
"tg42a";"vinc hiru";"hl";"+";;;;
"tg43a";"achn cala";"hl";"2a";;;;
"tg43a";"alnu inca";"sl";"+";;;;
"tg43a";"aspe cyna";"hl";"+";;;;
"tg43a";"betu pend";"sl";"1";;;;
"tg43a";"brom erec";"hl";"2a";;;;
"tg43a";"buph sali";"hl";"+";;;;
"tg43a";"camp coch";"hl";"+";;;;
"tg43a";"care humi";"hl";"+";;;;
"tg43a";"corn sang slat";"hl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg43a";"corn sang slat";"sl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg43a";"secu vari";"hl";"+";;;;" | Changed coro vari To secu vari 2012-11-27 16:08:08"
"tg43a";"cory avel";"hl";"+";;;;
"tg43a";"cory avel";"sl";"+";;;;
"tg43a";"dauc caro caro";"hl";"+";;;;" | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27"
"tg43a";"epip atro";"hl";"+";;;;
"tg43a";"fran alnu";"sl";"1";;;;
"tg43a";"gali veru";"hl";"+";;;;
"tg43a";"hier bifi";"hl";"+";;;;
"tg43a";"chlo stat";"hl";"1";;;;" | Changed hier stat To chlo stat 2012-11-27 16:08:08"
"tg43a";"juni comm comm";"hl";"+";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg43a";"ligu vulg";"sl";"r";;;;
"tg43a";"lotu corn";"hl";"+";;;;
"tg43a";"onob vici";"hl";"+";;;;
"tg43a";"pinu sylv";"hl";"1";;;;
"tg43a";"pinu sylv";"sl";"2b";;;;
"tg43a";"pinu sylv";"tl";"2a";;;;
"tg43a";"plan mari";"hl";"r";;;;
"tg43a";"popu trem";"sl";"1";;;;
"tg43a";"rosa rubi";"hl";"+";;;;
"tg43a";"sali elea elea";"sl";"2a";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg43a";"sali elea elea";"tl";"1";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg43a";"salv prat prat";"hl";"+";;;;" | Changed salv prat To salv prat prat 2012-11-27 16:08:04"
"tg43a";"scab colu";"hl";"r";;;;
"tg43a";"sorb aria";"sl";"+";;;;
"tg43a";"thes rost";"hl";"+";"voucher";"24";;
"tg43a";"thym prae prae";"hl";"+";;;;" | Changed thym prae To thym prae prae 2012-11-27 16:08:07"
"tg44a";"alli lusi";"hl";"+";;;;" | Changed alli mont To alli lusi 2012-11-27 16:08:08"
"tg44a";"anth ramo";"hl";"2a";;;;
"tg44a";"anth vuln slat";"hl";"+";;;;" | Changed anth vuln To anth vuln slat 2012-11-27 16:08:03"
"tg44a";"aspe tinc";"hl";"2m";"voucher";"20";;
"tg44a";"brac rupe";"hl";"2a";;;;
"tg44a";"brom erec";"hl";"1";;;;
"tg44a";"care humi";"hl";"2a";;;;
"tg44a";"fest amet amet";"hl";"+";;;;" | Changed fest amet To fest amet amet 2012-11-27 16:08:04"
"tg44a";"fest brev";"hl";"2a";"voucher";"5";"2";
"tg44a";"gali bore";"hl";"+";;;;
"tg44a";"gali wirt";"hl";"+";;;;
"tg44a";"gera sang";"hl";"+";;;;
"tg44a";"glob bisn";"hl";"+";;;;
"tg44a";"aven prae";"hl";"+";;;;" | Changed heli prae To aven prae 2012-11-27 16:08:05"
"tg44a";"hype perf";"hl";"+";;;;
"tg44a";"koel pyra pyra";"hl";"1";;;;" | Changed koel pyra To koel pyra pyra 2012-11-27 16:08:04"
"tg44a";"lase lati lati";"hl";"r";;;;" | Changed lase lati To lase lati lati 2012-11-27 16:08:08"
"tg44a";"lase sile sile";"hl";"3";;;;" | Changed lase sile To lase sile sile 2012-11-27 16:08:08"
"tg44a";"lili bulb bulb";"hl";"+";;;;" | Changed lili bulb To lili bulb bulb 2012-11-27 16:08:06"
"tg44a";"meli nuta";"hl";"+";;;;
"tg44a";"peuc oreo";"hl";"1";;;;
"tg44a";"poly odor";"hl";"2m";;;;
"tg44a";"salv prat prat";"hl";"+";;;;" | Changed salv prat To salv prat prat 2012-11-27 16:08:04"
"tg44a";"scab colu";"hl";"+";;;;
"tg44a";"sile nuta nuta";"hl";"+";;;;" | Changed sile nuta To sile nuta nuta 2012-11-27 16:08:04"
"tg44a";"teuc cham";"hl";"+";;;;
"tg44a";"thal minu slat";"hl";"2a";;;;" | Changed thal minu To thal minu slat 2012-11-27 16:08:05"
"tg44a";"vinc hiru";"hl";"+";;;;
"tg44a";"viol hirt";"hl";"+";;;;
"tg4a";"achn cala";"hl";"2m";;;;
"tg4a";"anth ramo";"hl";"+";;;;
"tg4a";"berb vulg";"hl";"+";;;;
"tg4a";"both isch";"hl";"+";;;;" | Changed botr isch To both isch 2012-11-27 16:08:08"
"tg4a";"brac rupe";"hl";"1";;;;
"tg4a";"buph sali";"hl";"+";;;;
"tg4a";"card defl viri";"hl";"+";;;;" | Changed card defl To card defl viri 2012-11-27 16:08:03"
"tg4a";"care humi";"hl";"2a";;;;
"tg4a";"dian sylv";"hl";"+";;;;
"tg4a";"dory germ";"hl";"+";;;;
"tg4a";"eric carn";"hl";"+";;;;" | Changed eric herb To eric carn 2012-11-27 16:08:03"
"tg4a";"fran alnu";"hl";"+";;;;
"tg4a";"gali luci";"hl";"+";;;;
"tg4a";"glob bisn";"hl";"r";"voucher";"25";;
"tg4a";"grim tere";"ml";"+";;;;
"tg4a";"juni comm comm";"sl";"+";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg4a";"leon inca";"hl";"+";;;;
"tg4a";"peuc oreo";"hl";"1";;;;
"tg4a";"pinu sylv";"sl";"1";;;;
"tg4a";"poly odor";"hl";"1";;;;
"tg4a";"pote caul";"hl";"+";;;;
"tg4a";"pote pusi";"hl";"r";;;;
"tg4a";"rham saxa saxa";"hl";"+";;;;" | Changed rham saxa To rham saxa saxa 2012-11-27 16:08:08"
"tg4a";"sesl caer";"hl";"1";;;;" | Changed sesl vari To sesl caer 2012-11-27 16:08:05"
"tg4a";"teuc mont";"hl";"+";;;;
"tg4a";"thym prae prae";"hl";"+";;;;" | Changed thym prae To thym prae prae 2012-11-27 16:08:07"
"tg4a";"tort tort";"ml";"1";;;;
"tg4a";"vinc hiru";"hl";"+";;;;
"tg5a";"achn cala";"hl";"1";;;;
"tg5a";"agro stol";"hl";"+";;;;
"tg5a";"alnu inca";"hl";"2a";;;;
"tg5a";"alnu inca";"sl";"3";;;;
"tg5a";"alnu inca";"tl";"3";;;;
"tg5a";"arrh elat";"hl";"+";;;;
"tg5a";"arte vulg";"hl";"r";;;;
"tg5a";"berb vulg";"hl";"1";;;;
"tg5a";"berb vulg";"sl";"1";;;;
"tg5a";"brac sylv";"hl";"1";;;;
"tg5a";"care humi";"hl";"1";;;;
"tg5a";"cirs vulg";"hl";"+";;;;
"tg5a";"clem vita";"hl";"2b";;;;
"tg5a";"clem vita";"sl";"2a";;;;
"tg5a";"clem vita";"tl";"+";;;;
"tg5a";"erig cana";"hl";"1";;;;" | Changed cony cana To erig cana 2012-11-27 16:08:08"
"tg5a";"corn sang slat";"hl";"2m";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg5a";"crat mono";"sl";"+";;;;
"tg5a";"dact glom glom";"hl";"+";;;;" | Changed dact glom To dact glom glom 2012-11-27 16:12:26"
"tg5a";"elym cani";"hl";"1";;;;
"tg5a";"epip hell slat";"hl";"r";;;;" | Changed epip hell To epip hell slat 2012-11-27 16:08:03"
"tg5a";"erig annu slat";"hl";"+";;;;" | Changed erig annu To erig annu slat 2012-11-27 16:08:03"
"tg5a";"eurh stri";"ml";"2b";;;;
"tg5a";"fest rubr slat";"hl";"+";;;;" | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05"
"tg5a";"fran alnu";"sl";"1";;;;
"tg5a";"frax exce";"sl";"+";;;;
"tg5a";"gali albu";"hl";"1";;;;
"tg5a";"gera robe";"hl";"+";;;;
"tg5a";"hede heli";"hl";"3";;;;
"tg5a";"hera spho spho";"hl";"+";;;;" | Changed hera spho s To hera spho spho 2012-11-27 16:12:27"
"tg5a";"ligu vulg";"hl";"+";;;;
"tg5a";"ligu vulg";"sl";"+";;;;
"tg5a";"loni xylo";"hl";"1";;;;
"tg5a";"loni xylo";"sl";"2a";;;;
"tg5a";"meli nuta";"hl";"1";;;;
"tg5a";"musc spec ies";"hl";"r";;;;" | Changed musc sp To musc spec ies 2012-11-27 16:12:31"
"tg5a";"lact mura";"hl";"+";;;;" | Changed myce mura To lact mura 2012-11-27 16:08:07"
"tg5a";"pice abie";"sl";"r";;;;
"tg5a";"pice abie";"tl";"r";;;;
"tg5a";"pinu sylv";"hl";"+";;;;
"tg5a";"pinu sylv";"tl";"1";;;;
"tg5a";"plag undu";"ml";"2a";;;;
"tg5a";"poa triv";"hl";"1";;;;
"tg5a";"prun aviu slat";"sl";"r";;;;" | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03"
"tg5a";"prun padu padu";"hl";"1";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg5a";"prun padu padu";"sl";"2a";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg5a";"prun padu padu";"tl";"+";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg5a";"rham cath";"sl";"+";;;;
"tg5a";"rosa arve";"hl";"r";;;;
"tg5a";"rosa rubi";"sl";"r";;;;
"tg5a";"rubu caes";"hl";"2b";;;;
"tg5a";"soli cana";"hl";"+";;;;
"tg5a";"soli virg virg";"hl";"2m";;;;" | Changed soli virg To soli virg virg 2012-11-27 16:08:03"
"tg5a";"tara sect rude";"hl";"1";;;;" | Changed tara offi To tara sect rude 2012-11-27 16:08:04"
"tg5a";"vale trip";"hl";"+";;;;
"tg5a";"vero urti";"hl";"1";;;;
"tg5a";"vibu lant";"hl";"+";;;;
"tg5a";"vibu lant";"sl";"+";;;;
"tg6a";"acer pseu";"hl";"+";;;;
"tg6a";"aego poda";"hl";"+";;;;
"tg6a";"elyt repe";"hl";"+";;;;" | Changed agro repe To elyt repe 2012-11-27 16:08:08"
"tg6a";"berb vulg";"hl";"1";;;;
"tg6a";"berb vulg";"sl";"1";;;;
"tg6a";"brac sylv";"hl";"+";;;;
"tg6a";"camp rapu";"hl";"+";;;;
"tg6a";"care alba";"hl";"1";;;;
"tg6a";"cirs vulg";"hl";"r";;;;
"tg6a";"clem vita";"hl";"2m";;;;
"tg6a";"clem vita";"sl";"1";;;;
"tg6a";"clem vita";"tl";"1";;;;
"tg6a";"corn sang slat";"hl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg6a";"corn sang slat";"sl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg6a";"cory avel";"sl";"2b";;;;
"tg6a";"crat mono";"sl";"+";;;;
"tg6a";"dact glom glom";"hl";"+";;;;" | Changed dact glom To dact glom glom 2012-11-27 16:12:26"
"tg6a";"epip hell slat";"hl";"+";;;;" | Changed epip hell To epip hell slat 2012-11-27 16:08:03"
"tg6a";"erig annu slat";"hl";"+";;;;" | Changed erig annu To erig annu slat 2012-11-27 16:08:03"
"tg6a";"frag mosc";"hl";"+";;;;
"tg6a";"frax exce";"hl";"+";;;;
"tg6a";"frax exce";"tl";"+";;;;
"tg6a";"gali albu";"hl";"1";;;;
"tg6a";"heme fulv";"hl";"+";;;;
"tg6a";"jugl regi";"hl";"+";;;;
"tg6a";"jugl regi";"sl";"+";;;;
"tg6a";"lari deci deci";"tl";"1";;;;" | Changed lari deci To lari deci deci 2012-11-27 16:08:03"
"tg6a";"ligu vulg";"hl";"+";;;;
"tg6a";"loni xylo";"sl";"+";;;;
"tg6a";"meli nuta";"hl";"1";;;;
"tg6a";"part inse";"hl";"2b";;;;
"tg6a";"part inse";"sl";"1";;;;
"tg6a";"pice abie";"hl";"+";;;;
"tg6a";"pinu sylv";"tl";"2a";;;;
"tg6a";"prun aviu slat";"tl";"+";;;;" | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03"
"tg6a";"prun cera ifera";"sl";"2m";;;;" | Changed prun cers To prun cera ifera 2012-11-27 16:08:07"
"tg6a";"prun padu padu";"hl";"+";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg6a";"prun padu padu";"sl";"1";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg6a";"pter aqui";"hl";"+";;;;
"tg6a";"robi pseu";"sl";"2a";;;;
"tg6a";"robi pseu";"tl";"3";;;;
"tg6a";"sali capr";"sl";"+";;;;
"tg6a";"sali capr";"tl";"1";;;;
"tg6a";"samb nigr";"sl";"2b";;;;
"tg6a";"soli virg virg";"hl";"+";;;;" | Changed soli virg To soli virg virg 2012-11-27 16:08:03"
"tg6a";"urti dioi dioi";"hl";"+";;;;" | Changed urti dioi To urti dioi dioi 2012-11-27 16:08:07"
"tg6a";"vibu lant";"hl";"+";;;;
"tg7a";"achn cala";"hl";"1";;;;
"tg7a";"alnu inca";"sl";"+";;;;
"tg7a";"betu pend";"hl";"+";;;;
"tg7a";"buph sali";"hl";"+";;;;
"tg7a";"clin nepe";"hl";"+";;;;" | Changed cala neps To clin nepe 2012-11-27 16:08:08"
"tg7a";"care humi";"hl";"1";;;;
"tg7a";"dauc caro caro";"hl";"+";;;;" | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27"
"tg7a";"dory germ";"hl";"+";;;;
"tg7a";"drya octo";"hl";"+";;;;
"tg7a";"epip atro";"hl";"r";;;;
"tg7a";"eric carn";"hl";"+";;;;" | Changed eric herb To eric carn 2012-11-27 16:08:03"
"tg7a";"erig annu slat";"hl";"1";;;;" | Changed erig annu To erig annu slat 2012-11-27 16:08:03"
"tg7a";"fran alnu";"hl";"+";;;;
"tg7a";"glob cord";"hl";"+";;;;
"tg7a";"hier bifi";"hl";"+";;;;
"tg7a";"hier pilo ides";"hl";"+";;;;" | Changed hier pilo To hier pilo ides 2012-11-27 16:08:08"
"tg7a";"chlo stat";"hl";"1";;;;" | Changed hier stat To chlo stat 2012-11-27 16:08:08"
"tg7a";"juni comm comm";"hl";"+";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg7a";"leon hisp hyos";"hl";"2a";"voucher";"16";"3";" | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07"
"tg7a";"moli caer aggr";"hl";"+";;;;" | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05"
"tg7a";"pice abie";"hl";"r";;;;
"tg7a";"pinu sylv";"hl";"1";;;;
"tg7a";"pinu sylv";"sl";"+";;;;
"tg7a";"popu trem";"hl";"+";;;;
"tg7a";"popu trem";"sl";"+";;;;
"tg7a";"sali alba";"hl";"+";;;;
"tg7a";"sali alba";"sl";"+";;;;
"tg7a";"sali elea elea";"hl";"+";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg7a";"sali elea elea";"sl";"2b";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg7a";"sali purp";"hl";"+";;;;
"tg7a";"sali purp";"sl";"2a";;;;
"tg7a";"sang mino mino";"hl";"+";;;;" | Changed sang mino mi To sang mino mino 2012-11-27 16:08:06"
"tg7a";"teuc cham";"hl";"+";;;;
"tg7a";"teuc mont";"hl";"+";;;;
"tg7a";"thym prae prae";"hl";"+";;;;" | Changed thym prae To thym prae prae 2012-11-27 16:08:07"
"tg7a";"verb offi";"hl";"+";;;;
"tg8a";"achn cala";"hl";"2m";;;;
"tg8a";"amel oval";"hl";"+";;;;
"tg8a";"amel oval";"sl";"+";;;;
"tg8a";"anth ramo";"hl";"+";;;;
"tg8a";"berb vulg";"hl";"+";;;;
"tg8a";"berb vulg";"sl";"r";;;;
"tg8a";"buph sali";"hl";"1";;;;
"tg8a";"care humi";"hl";"2a";;;;
"tg8a";"colu arbo";"hl";"r";;;;
"tg8a";"dory germ";"hl";"1";;;;
"tg8a";"drya octo";"hl";"1";;;;
"tg8a";"epip atro";"hl";"+";;;;
"tg8a";"epip hell atro";"hl";"+";;;;" | Changed epip x sc To epip hell atro 2012-11-27 16:08:06"
"tg8a";"eric carn";"hl";"3";;;;" | Changed eric herb To eric carn 2012-11-27 16:08:03"
"tg8a";"euph cypa";"hl";"+";;;;
"tg8a";"fran alnu";"hl";"+";;;;
"tg8a";"fran alnu";"sl";"+";;;;
"tg8a";"gali luci";"hl";"+";;;;
"tg8a";"glob cord";"hl";"2a";;;;
"tg8a";"hier bifi";"hl";"+";;;;
"tg8a";"hier bupl";"hl";"+";;;;
"tg8a";"hier pilo ides";"hl";"+";;;;" | Changed hier pilo To hier pilo ides 2012-11-27 16:08:08"
"tg8a";"chlo stat";"hl";"1";;;;" | Changed hier stat To chlo stat 2012-11-27 16:08:08"
"tg8a";"juni comm comm";"hl";"1";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg8a";"juni comm comm";"sl";"2m";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg8a";"leon hisp hyos";"hl";"+";"voucher";"17";"2";" | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07"
"tg8a";"leon inca";"hl";"+";;;;
"tg8a";"moli caer aggr";"hl";"1";;;;" | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05"
"tg8a";"pinu mugo";"hl";"+";;;;
"tg8a";"pinu mugo";"sl";"1";;;;
"tg8a";"pinu sylv";"hl";"2a";;;;
"tg8a";"pinu sylv";"sl";"3";;;;
"tg8a";"pinu sylv";"tl";"1";;;;
"tg8a";"poly cham";"hl";"1";;;;
"tg8a";"pote pusi";"hl";"r";;;;
"tg8a";"rosa rubi";"hl";"+";;;;
"tg8a";"rosa rubi";"sl";"+";"voucher";"22";;
"tg8a";"sali elea elea";"hl";"+";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg8a";"sali elea elea";"sl";"1";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg8a";"scle puru";"ml";"1";;;;
"tg8a";"sesl caer";"hl";"1";;;;" | Changed sesl vari To sesl caer 2012-11-27 16:08:05"
"tg8a";"teuc mont";"hl";"1";;;;
"tg8a";"thym prae prae";"hl";"+";;;;" | Changed thym prae To thym prae prae 2012-11-27 16:08:07"
"tg8a";"tort tort";"ml";"+";;;;
"tg8a";"vacc viti";"hl";"+";;;;
"tg8a";"vinc hiru";"hl";"+";;;;
"tg9a";"achn cala";"hl";"1";;;;
"tg9a";"amel oval";"hl";"+";;;;
