plot,abbr,layer,cover,voucher,comment,history
sf07,card defl viri,hl,r,,,
sf07,card enne,hl,r,,,
sf07,care humi,hl,r,,,
sf07,clem vita,hl,1,,,
sf07,cycl purp,hl,+,,,
sf07,digi gran,hl,+,,,
sf07,eupa cann,hl,1,,,
sf07,euph amyg amyg,hl,+,,,
sf07,euph dulc,hl,+,,,
sf07,fagu sylv,hl,+,,,
sf07,frag vesc,hl,r,,,
sf07,frax exce,hl,+,,,
sf07,hede heli,hl,r,,,
sf07,hier bifi,hl,r,,,
sf07,lact mura,hl,+,,,
sf07,merc pere,hl,+,,,
sf07,moeh musc,hl,+,,,
sf07,rosa arve,hl,r,,,
sf07,salv glut,hl,+,,,
sf07,tili plat,hl,r,,,
sf07,ulmu glab,hl,r,,,
sf07,vinc hiru,hl,1,,,
sf07,frax exce,sl,+,,,
sf07,acer plat,tl1,1,,,
sf07,fagu sylv,tl1,2a,,,
sf07,tili plat,tl1,3,,,
sf07,acer pseu,tl2,1,,,
sf07,fagu sylv,tl2,2b,,,
sf07,pice abie,tl2,+,,,
sf07,tili plat,tl2,2a,,,
sf08,aqui atra,hl,1,,,
sf08,arab aren,hl,+,,,
sf08,atro bell,hl,r,,,
sf08,brac pinn,hl,2a,,,
sf08,brac sylv,hl,1,,,
sf08,brom bene,hl,+,,,
sf08,buph sali,hl,+,,,
sf08,cala vari,hl,2a,,,
sf08,camp rapu rapu,hl,1,,,
sf08,camp trac,hl,+,,,
sf08,card defl viri,hl,+,,,
sf08,care alba,hl,1,,,
sf08,care flac,hl,1,,,
sf08,care humi,hl,+,,,
sf08,ceph long,hl,r,,,
sf08,clem vita,hl,2a,,,
sf08,clin alpi alpi,hl,r,,,
sf08,clin vulg vulg,hl,+,,,
sf08,corn sang slat,hl,+,,,
sf08,cory avel,hl,+,,,
sf08,cycl purp,hl,+,,,
sf08,eupa cann,hl,2b,,,
sf08,euph amyg amyg,hl,+,,,
sf08,fagu sylv,hl,+,,,
sf08,frax exce,hl,+,,,
sf08,gale flav,hl,+,,,
sf08,gale mont,hl,+,,,
sf08,gali albu,hl,+,,,
sf08,gali moll,hl,1,cf.,,
sf08,gali sylv,hl,1,,,
sf08,gera robe,hl,+,,,
sf08,hede heli,hl,r,,,
sf08,inul cony,hl,r,,,
sf08,lact mura,hl,+,,,
sf08,merc pere,hl,+,,,
sf08,moeh musc,hl,+,,,
sf08,moli caer aggr,hl,1,M. arundinaca,,
sf08,orig vulg,hl,+,,,
sf08,pimp majo majo,hl,+,,,
sf08,rosa cani,hl,+,,,
sf08,rubu caes,hl,2a,,,
sf08,rubu spec ies,hl,+,vgl sf06,,
sf08,salv glut,hl,2a,,,
sf08,teuc cham,hl,r,,,
sf08,tili plat,hl,+,,,
sf08,ulmu glab,hl,+,,,
sf08,vinc hiru,hl,1,,,
sf08,carp betu,sl,r,,,
sf08,clem vita,sl,+,,,
sf08,corn sang slat,sl,+,,,
sf08,cory avel,sl,1,,,
sf08,fagu sylv,sl,+,,,
sf08,frax exce,sl,+,,,
sf08,tili plat,sl,+,,,
sf08,fagu sylv,tl1,2a,,,
sf08,frax exce,tl1,2a,,,
sf08,tili plat,tl1,3,,,
sf08,visc albu,tl1,+,,,
sf08,acer pseu,tl2,2b,,,
sf08,frax exce,tl2,2a,,,
sf09,acer plat,hl,+,,,
sf09,acer pseu,hl,+,,,
sf09,ajug rept,hl,+,,,
sf09,aspl ruta,hl,r,,,
sf09,aspl tric quad,hl,r,,,
sf09,brac sylv,hl,+,,,
sf09,cala vari,hl,+,,,
sf09,camp rapu rapu,hl,1,,,
sf09,camp trac,hl,+,,,
sf09,card defl viri,hl,+,,,
sf09,card enne,hl,r,,,
sf09,card impa,hl,+,,,
sf09,clem vita,hl,2b,,,
sf09,cory avel,hl,+,,,
sf09,cycl purp,hl,r,,,
